Tid	Kanal A
(ms)	(mV)

0.00000000	-25.75664000
0.19999999	-21.15834000
0.39999999	-11.03900000
0.59999998	0.00000000
0.79999998	8.27694300
0.99999997	18.39628000
1.19999997	22.07800000
1.39999996	24.83698000
1.59999996	24.83698000
1.79999995	20.23868000
1.99999995	14.71764000
2.19999994	6.43762300
2.39999994	-3.67864200
2.59999993	-10.11934000
2.79999993	-12.87832000
2.99999992	-15.63730000
3.19999992	-16.55696000
3.39999991	-16.55696000
3.59999991	-12.87832000
3.79999990	-11.03900000
3.99999990	-10.11934000
4.19999989	-8.27694300
4.39999989	-5.51796200
4.59999988	-3.67864200
4.79999988	-2.75898100
4.99999987	5.51796200
5.19999987	10.11934000
5.39999986	13.79798000
5.59999986	20.23868000
5.79999985	22.07800000
5.99999985	21.15834000
6.19999984	18.39628000
6.39999984	11.95866000
6.59999983	4.59830200
6.79999983	-4.59830200
6.99999982	-15.63730000
7.19999982	-22.99766000
7.39999981	-27.59596000
7.59999981	-28.51562000
7.79999980	-24.83698000
7.99999980	-18.39628000
8.19999979	-11.95866000
8.39999979	-1.83932100
8.59999978	7.35728300
8.79999978	16.55696000
8.99999977	18.39628000
9.19999977	20.23868000
9.39999976	21.15834000
9.59999976	16.55696000
9.79999975	11.95866000
9.99999975	5.51796200
10.19999974	3.67864200
10.39999974	0.91966040
10.59999973	-0.91966040
10.79999973	-5.51796200
10.99999972	-8.27694300
11.19999972	-11.95866000
11.39999971	-12.87832000
11.59999971	-17.47662000
11.79999970	-18.39628000
11.99999970	-20.23868000
12.19999969	-18.39628000
12.39999969	-13.79798000
12.59999968	-5.51796200
12.79999968	0.00000000
12.99999967	9.19660400
13.19999967	15.63730000
13.39999966	23.91732000
13.59999966	24.83698000
13.79999965	25.75664000
13.99999965	18.39628000
14.19999964	12.87832000
14.39999964	5.51796200
14.59999963	-11.03900000
14.79999963	-13.79798000
14.99999962	-22.99766000
15.19999962	-22.99766000
15.39999961	-25.75664000
15.59999961	-23.91732000
15.79999960	-17.47662000
